xi,H_um
0.60654,9.5200
0.60712,9.5200
0.60770,9.5200
0.60827,9.5200
0.60885,9.5200
0.60943,9.5200
0.61001,9.5200
0.61058,9.5200
0.61116,9.5200
0.61174,9.5200
0.61232,9.5200
0.61289,9.5200
0.61347,9.5200
0.61405,9.5200
0.61463,9.5200
0.61520,9.5200
0.61578,9.5200
0.61636,9.5200
0.61694,9.5200
0.61751,9.5200
0.61809,9.5200
0.61867,9.5200
0.61925,9.5200
0.61982,9.5200
0.62040,9.5200
0.62098,9.5200
0.62156,9.5200
0.62213,9.5200
0.62271,9.5200
0.62329,9.5200
0.62387,9.5200
0.62444,9.5414
0.62502,9.5414
0.62560,9.5414
0.62618,9.5414
0.62675,9.5414
0.62733,9.5414
0.62791,9.5414
0.62849,9.5414
0.62906,9.5627
0.62964,9.5627
0.63022,9.5627
0.63080,9.5627
0.63137,9.5627
0.63195,9.5627
0.63253,9.5627
0.63310,9.5627
0.63368,9.5627
0.63426,9.5627
0.63484,9.5627
0.63541,9.5627
0.63599,9.5627
0.63657,9.5627
0.63715,9.5627
0.63772,9.5627
0.63830,9.5627
0.63888,9.5627
0.63946,9.5627
0.64003,9.5627
0.64061,9.5627
0.64119,9.5627
0.64177,9.5841
0.64234,9.5841
0.64292,9.5841
0.64350,9.5841
0.64408,9.5841
0.64465,9.5841
0.64523,9.5841
0.64581,9.5841
0.64639,9.5841
0.64696,9.5841
0.64754,9.5841
0.64812,9.5841
0.64870,9.5841
0.64927,9.5841
0.64985,9.5841
0.65043,9.5841
0.65101,9.5841
0.65158,9.5841
0.65216,9.5841
0.65274,9.5841
0.65332,9.5841
0.65389,9.5841
0.65447,9.6055
0.65505,9.6055
0.65563,9.6055
0.65620,9.6055
0.65678,9.6055
0.65736,9.6055
0.65794,9.6055
0.65851,9.6055
0.65909,9.6055
0.65967,9.6055
0.66025,9.6055
0.66082,9.6055
0.66140,9.6268
0.66198,9.6268
0.66256,9.6268
0.66313,9.6268
0.66371,9.6268
0.66429,9.6268
0.66487,9.6268
0.66544,9.6268
0.66602,9.6268
0.66660,9.6268
0.66718,9.6268
0.66775,9.6268
0.66833,9.6268
0.66891,9.6268
0.66948,9.6268
0.67006,9.6268
0.67064,9.6268
0.67122,9.6268
0.67179,9.6482
0.67237,9.6482
0.67295,9.6482
0.67353,9.6482
0.67410,9.6482
0.67468,9.6482
0.67526,9.6482
0.67584,9.6482
0.67641,9.6482
0.67699,9.6482
0.67757,9.6482
0.67815,9.6482
0.67872,9.6482
0.67930,9.6482
0.67988,9.6696
